user_id,username
333565193360297,FoodpandaIndonesia
870794603099300,GrabFoodMY
116331768396879,drasyrafwajdidusuki
56381779049,PepsiUS
345717225799009,DrKelvinyii
507454502624371,MordiBimolDAP
541244716028061,kmum1905
1555971224638274,Persatuan-Bola-Sepak-Malaysia-FAM-1555971224638274
1748672848528352,ahmad.maslan.official
158837581512980,GrabFoodID
176522946203931,guanhowxtriumphbm
341158956020001,kerjakosongjb
2016793391724889,melayucomelmy
1073492886138356,abangjoofficial
145415148874712,AliBiju
1491180840997591,Nurul-Nadia-1491180840997591
234069187149371,Abang-Jo-Friends-Of-Abang-Jo-234069187149371
576082012555242,KMSUpdate
280723718656651,GrupoLanteri
561430237248548,Boli-Bolingoli-Mbombo-561430237248548
204149779620953,PepsiMalaysia
903141263064290,TheWorldsLargestLesson
254489607940874,bukalapak
166593220385137,MFMiraFilzah
196384887097432,JabatanKastamDirajaMalaysia
133347436726997,AnnuarMusa
544963759018772,mugenraofficial
427875344252024,CostaCoffeeMalaysia
1816817435072727,munafik2movie
2067935046590898,revengeofthepontianak
398838153608675,remyishakofficial
460186754030971,ChatimeMalaysia
645141605992413,dendampontianakofficial
773073436087325,Nur-Fazura-Official-773073436087325
104018844286412,katamalaysia
230670690932923,malaysiaindicator
1737880879818795,polisproject
900823559976651,PertaminaEnduroRacing
318091431579980,GuardianIndo
100953840043211,mohdsabu1954
363973963950071,myboostapp
681208532255451,yasonnahlaoly
171395672951728,TICMInow
221337437885010,RDODanareksa
1445971882394130,Waste4Change
1117773881577049,MasyarakatRelawanIndonesiaOfficial
1006515589389471,DinasSDAProvDKIJkrt
184101791657218,Opengovindo
490346034317695,lapor1708
207431492689391,rozalnawafil.nawawi
160539775996,IRADIOBDG
1959909154036695,DitpdpontrenKemenagRI
311198745591624,usaidindonesia
1719687388243493,ypbb.bandung
1670042053214360,JDID
437478142954883,poltracking
926774344084410,20detik
80498288356,IndonesianConsumersOrganization
1872144919490543,ceritamalut
270919980228725,Humas-Polda-Malut-270919980228725
349977923879,pemkotprobolinggo
545307895803249,handalwalikota
100720630005978,UNBiodiversity
